"","Latitude","Longitude","Name"
"1",29.9749,-90.100465,"Carrollton Ave near Canal"
"2",29.974686,-90.054755,"North Derbigny @ Mandeville"
"3",29.968003,-90.118725,"Eagle St at Olive St"
"4",29.952532,-90.107733,"Octavia and Walmsley"
"5",30.043324,-89.96194,"Walmart Parking Lot"
"6",29.97048,-90.058308,"Frenchmen @ Royal"
"7",29.966973,-90.042343,"Neutral Ground Near Wagners"
"8",29.966283,-90.063592,"Esplanade @ N. Rampart"
"9",29.961218,-90.115519,"Earhart near S. Carrollton"
"10",29.964717,-90.073317,"N. Claiborne @ Orleans"
"11",29.967304,-90.071064,"N. Claiborne @ Ursulines"
"12",29.96446,-90.12056,"Earhart @ Monroe"
"13",29.96555,-90.125489,"Earhart @ Hamilton"
"14",29.968646,-90.104059,"S. Pierce St. & Ulloa St"
"15",29.968646,-90.104059,"S. Carrollton Ave. & Ulloa St."
"16",29.932678,-90.0892,"Dryades & Sixth"
"17",29.963086,-90.11288,"Carrollton at Olive"
"18",29.953838,-90.118414,"S. Claiborne @ Burdette"
"19",29.973528,-90.058539,"N. Claiborne @ Frenchman"
"20",29.926964,-90.102408,"St. Charles @ Napoleon"
"21",29.920585,-90.101178,"Napoleon @ Magazine"
"22",29.991673,-90.06663,"New Orleans Street Near I-610 Exit"
"23",29.962019,-90.123223,"Monroe @ Belfast"
"24",29.939772,-90.103814,"S. Claiborne @ Napoleon"
"25",29.97361,-90.060937,"N. Claiborne @ Pauger"
"26",29.958041,-90.10964,"Earhart @ Audubon"
"27",29.970569,-90.07176,"Bayou Rd/Barracks and N. Prieur"
"28",29.972991,-90.073736,"Esplanade @ North Miro"
"29",29.966646,-90.064631,"Esplanade @ Henriette"
"30",29.993997,-90.109423,"Canal @ Florida"
"31",29.948734,-90.040222,"Whitney @ Opelousas"
"32",29.923719,-90.07817,"Clay Square Park"
"33",29.974918,-90.091978,"Jeff Davis @ Tolousse"
"34",30.03272,-90.026882,"Hayne @ Downman"
"35",29.983375,-90.072023,"St. Bernard @ North Broad"
"36",29.979591,-90.077773,"Stallings Playground, New Orleans, LA, USA"
"37",29.920532,-90.104972,"Magazine @ Valence"
"38",30.011209,-90.009757,"Chef Menteur Hwy @ Dale"
"39",29.964787,-90.031242,"St. Claude @ Poland"
"40",29.978773,-90.082711,"Esplanade @ Gayoso"
"41",29.954302,-90.01148,"Tricou @ Chartres"
"42",29.96995,-90.064294,"St. Bernard @ Urquhart"
"43",29.948539,-90.051177,"Opelousas @ Nunez"
"44",29.965011,-90.057464,"Dauphine between Elysian Fields and Frenchmen"
"45",29.943754,-90.086761,"Saint Andrew & Magnolia"
"46",29.97188,-90.115248,"Job Corps near Eagle @ Dixon"
"47",29.972967,-90.069807,"Columbus @ North Prieur"
"48",29.96062,-90.037348,"Charters Street between Bartholomew and Alvar"
"49",29.947249,-90.129814,"Carrollton @ Oak"
"50",29.948705,-90.131563,"Oak @ Dante"
"51",29.980021,-90.084899,"Mystery near Grand Route St. John"
"52",29.971184,-90.080136,"Dumaine and Dorgenois"
"53",29.951715,-90.100984,"Washington @ South White"
"54",29.952137,-90.135602,"Oak @ Eagle"
"55",29.964629,-90.009104,"North Claiborne @ Tupelo"
"56",29.974082,-90.100797,"S. Carrollton Near Canal"
"57",29.975197,-90.04858,"North Derbigny @ Franklin Ave"
"58",29.945922,-90.071688,"St. Charles @ Julia"
"59",29.989383,-90.073155,"Paris Ave @ Gentilly Blvd"
"60",30.056921,-89.969702,"Hayne Blvd @ Bullard Ave"
"61",29.988765,-90.075118,"St Bernard @ Desaix"
"62",29.989453,-90.066251,"N. Broad @ Treasure St"
"63",29.94403,-90.087676,"Josephine and Clara"
"64",29.923789,-90.080606,"Washington and Annunciation"
"65",29.943482,-90.083492,"MLK @ Rev. John Rafael Jr. Way"
"66",29.969436,-90.052175,"N. Rampart & St. Roch"
"67",30.004499,-90.106796,"Harrison near Vicksburg"
"68",29.970867,-90.082869,"Broad and Orleans"
"69",29.973468,-90.07802,"Dorgenois and Governor Nicholls"
"70",29.971908,-90.120447,"Palm @ Mistletoe"
"71",29.955102,-90.129438,"Leonidas @ Hickory"
"72",29.956329,-90.131244,"Eagle @ Hickory"
"73",29.921115,-90.022659,"Garden Oaks by Bus Stop"
"74",29.989326,-90.049106,"Abundance and Franklin"
"75",29.977013,-90.047599,"Almonaster @ N. Prieur"
"76",30.022494,-90.051857,"Franklin @ Robert E Lee"
"77",30.031895,-90.052686,"Franklin Near Lakeshore"
"78",30.014381,-90.058,"Mandeville and Odin"
"79",29.9999,-90.059244,"Gentilly @ Elysian Fields"
"80",29.998453,-90.060539,"Gentilly @ Frenchmen"
"81",30.005231,-90.036292,"Chef Menteur and Louisa"
"82",29.985824,-90.076388,"Gentilly and Belfort"
"83",29.976135,-90.076376,"Bayou Road and De Soto"
"84",29.940437,-90.077992,"Baronne and MLK"
"85",29.907519,-90.018059,"Behrman @ Tullis"
"86",29.907519,-90.018059,"General Meyer near Odeon"
"87",29.945248,-90.040827,"Whitney @ Newton"
"88",29.946531,-90.052229,"Homer @ Teche"
"89",29.9392,-90.041224,"L.B. Landry near Lawrence"
"90",29.930466,-90.041921,"General De Gaulle + L.B. Landry"
"91",29.930466,-90.041921,"St. Charles @ Lafayette"
"92",29.941454,-90.073548,"St. Charles near Clio"
"93",29.941454,-90.073548,"St. Charles near Clio"
"94",29.925468,-90.021534,"General De Gaulle + Westbend"
"95",29.93,-90.032116,"General De Gaulle at Shirley"
"96",29.925578,-90.07339,"Jackson + St. Thomas"
"97",29.928246,-90.09131,"Louisiana + St. Charles"
"98",29.93993,-90.089155,"Freret + Second"
"99",29.943754,-90.082131,"Thalia + S. Liberty"
"100",29.943219,-90.082538,"S. Liberty + MLK"
"101",29.967216,-90.077638,"Galvez + Orleans"
"102",29.98017,-90.067289,"A.P. Tureaud + N. Tonti"
"103",29.978822,-90.056379,"N. Galvez + Marigny"
"104",29.97781,-90.055123,"Mandeville @ N. Johnson"
"105",29.975995,-90.0522,"St. Roch + N. Roman"
"106",29.974841,-90.066672,"St. Bernard + N. Roman"
"107",29.974142,-90.080209,"Ursullines + Crete"
"108",29.969811,-90.078312,"Dumaine + N. Tonti"
"109",29.956729,-90.104713,"Jefferson Davis + Thalia"
"110",29.954118,-90.102368,"Washington + Martin Luther King"
"111",29.950649,-90.101537,"S. Broad + Elba"
"112",30.03752,-90.01148,"Hayne + Sheephead"
"113",30.033029,-90.026074,"Hayne + Alabama"
"114",30.010148,-90.020878,"Downman + Chef"
"115",30.010213,-90.019902,"Chef Menteur near Downman"
"116",30.012458,-89.998597,"Chef Menteur + Wilson"
"117",29.943047,-90.071897,"Surveillance Camera"
"118",29.96943,-90.088885,"Bienville and Gayoso"
"119",29.968755,-90.084262,"Greenway at N Broad"
"120",29.969094,-90.084643,"Greenway at N Broad"
"121",29.970284,-90.087067,"Greenway at N Dupre"
"122",29.970962,-90.088221,"Greenway btwn N Gayoso and N Salcedo"
"123",29.971576,-90.089363,"Greenway at N Lopez"
"124",29.972658,-90.091262,"Greenway at Jeff Davis"
"125",29.973086,-90.091836,"Greenway at Jeff Davis (lake side)"
"126",29.974582,-90.093124,"Greenway at Wrong Iron"
"127",29.975753,-90.094792,"Greenway at N Cortez"
"128",29.976334,-90.095586,"Greenway at N Scott"
"129",29.977426,-90.097195,"Greenway at N Carrollton"
"130",29.977426,-90.097195,"Greenway at N Carrollton"
"131",29.977547,-90.097619,"Greenway at N Carrollton (lake side)"
"132",29.978788,-90.099384,"Greenway at N Solomon"
"133",29.967891,-90.082975,"Greenway @ N Dorgenois"
"134",29.967861,-90.082976,"Greenway @ N Dorgenois"
"135",29.966583,-90.081099,"Greenway @ N Tonti"
"136",29.966583,-90.081099,"Greenway @ N Tonti"
