"","Latitude","Longitude","Name","Street","City","State","Country","Zipcode","Category","Photo.URL","Description","Y","OBJECTID","Direction","Location","InstallDate","Function","MonitoredSchool","Speed_Enc","RLC_Enf","SZ_Enf","SZSpeedLimit","SZTriggerSpeed","RegSpeedLimit","TriggerSpeed","X"
"1",29.97476,-90.100505,"NO01","N Carrollton Ave @ Canal St","","SB","United States",NA,"Traffic","","",29.9747654179271,1,"","","2008-01-25T00:00:00.000Z","SOG / RL","","x","x","",NA,NA,35,45,-90.1005106211771
"2",29.974579,-90.100854,"NO02","Canal St @ S Carrollton Ave","","EB","United States",NA,"Traffic","","",29.9745844175105,2,"","","2008-01-25T00:00:00.000Z","SOG / RL","","x","x","",NA,NA,35,45,-90.1008596212747
"3",29.965531,-90.109873,"NO03","S Carrollton Ave @ Palmetto St","","NB","United States",NA,"Traffic","","",29.9655364152435,3,"","","2008-01-25T00:00:00.000Z","SOG / RL","","x","x","",NA,NA,35,45,-90.1098786237344
"4",29.965975,-90.10986,"NO04","S Carrollton Ave @ Palmetto St","","SB","United States",NA,"Traffic","","",29.9659804155743,4,"","","2008-01-25T00:00:00.000Z","SOG / RL","","x","x","",NA,NA,35,45,-90.1098656230414
"5",29.960826,-90.115091,"NO05","S Carrollton Ave @ Earhart Blvd","","NB","United States",NA,"Traffic","","",29.960831414168,5,"","","2008-01-25T00:00:00.000Z","SOG / RL","","x","x","",NA,NA,35,45,-90.1150966246474
"6",29.961293,-90.114862,"NO06","S Carrollton Ave @ Earhart Blvd","","SB","United States",NA,"Traffic","","",29.9612984140618,6,"","","2008-01-25T00:00:00.000Z","SOG / RL","","x","x","",NA,NA,35,45,-90.114867624892
"7",29.961,-90.114681,"NO07","Earhart Blvd @ S Carrollton Ave","","WB","United States",NA,"Traffic","","",29.9610054145639,7,"","","2008-01-25T00:00:00.000Z","SOG / RL","","x","x","",NA,NA,35,45,-90.114686624802
"8",29.961133,-90.115227,"NO08","Earhart Blvd @ S Carrollton Ave","","EB","United States",NA,"Traffic","","",29.9611384140917,8,"","","2008-01-25T00:00:00.000Z","SOG / RL","","x","x","",NA,NA,35,45,-90.1152326246847
"9",29.950903,-90.075837,"NO09","Poydras St @ Loyola Ave","","EB","United States",NA,"Traffic","","",29.9509084132141,9,"","","2008-01-25T00:00:00.000Z","SOG / RL","","x","x","",NA,NA,35,45,-90.0758426132519
"10",29.93912,-90.075657,"NO10","St Charles Ave @ Martin Luther King Jr Blvd","","NB","United States",NA,"Traffic","","",29.9391254106452,10,"","","2008-06-27T00:00:00.000Z","SOG / RL","","x","x","",NA,NA,35,45,-90.0756626126181
"11",29.93912,-90.075657,"NO11","St Charles Ave @ Martin Luther King Jr Blvd","","SB","United States",NA,"Traffic","","",29.9391254106452,11,"","","2008-06-27T00:00:00.000Z","SOG / RL","","x","x","",NA,NA,35,45,-90.0756626126181
"12",29.949487,-90.070599,"NO14","Poydras St @ St Charles Ave","","EB","United States",NA,"Traffic","","",29.9494924128648,12,"","","2008-06-27T00:00:00.000Z","SOG / RL","","x","x","",NA,NA,35,45,-90.0706046123747
"13",29.931015,-90.086026,"NO15","St Charles Ave @ Washington Ave","","EB","United States",NA,"Traffic","","",29.9310204086063,13,"","","2008-06-27T00:00:00.000Z","SOG / RL","","x","x","",NA,NA,35,45,-90.0860316151542
"14",29.928225,-90.091326,"NO16","St Charles Ave @ Louisiana Ave","","EB","United States",NA,"Traffic","","",29.9282304077798,14,"","","2008-06-27T00:00:00.000Z","SOG / RL","","x","","",NA,NA,35,45,-90.0913316171937
"15",29.928225,-90.091326,"NO17","St Charles Ave @ Louisiana Ave","","WB","United States",NA,"Traffic","","",29.9282304077798,15,"","","2008-06-27T00:00:00.000Z","SOG / RL","","x","","",NA,NA,35,45,-90.0913316171937
"16",29.948931,-90.06815,"NO18","Poydras St @ Magazine St","","WB","United States",NA,"Traffic","","",29.9489364134794,16,"","","2008-06-27T00:00:00.000Z","SOG / RL","","x","x","",NA,NA,35,45,-90.0681556114002
"17",29.949937,-90.071849,"NO19","Poydras St @ Carondelet St","","WB","United States",NA,"Traffic","","",29.9499424133001,17,"","","2008-06-27T00:00:00.000Z","SOG / RL","","x","x","",NA,NA,35,45,-90.0718546121429
"18",30.013292,-90.074978,"NO20 / 25","Paris Ave @ Crescent Dr","","NB","United States",NA,"Traffic","","",30.0132974266293,18,"","","2009-03-20T00:00:00.000Z","FS / TFS","","x","","x",20,26,35,45,-90.0749836163527
"19",30.015934,-90.075197,"NO21 / 26","Paris Ave @ Prentiss Ave","","SB","United States",NA,"Traffic","","",30.0159394277171,19,"","","2009-03-20T00:00:00.000Z","FS / TFS","","x","","x",20,26,35,45,-90.0752026159311
"20",29.946139,-90.098299,"NO22","Toledano St @ Galvez St","","NB","United States",NA,"Traffic","","",29.9461444113796,20,"","","2009-03-20T00:00:00.000Z","FS / TFS","","x","","",NA,NA,35,45,-90.0983046196997
"21",29.946139,-90.098299,"NO23","Toledano St SB @ Galvez St","","SB","United States",NA,"Traffic","","",29.9461444113796,21,"","","2009-03-20T00:00:00.000Z","FS / TFS","","x","","",NA,NA,35,45,-90.0983046196997
"22",29.994373,-90.113849,"NO24","Florida Blvd @ Milne Blvd","","EB","United States",NA,"Traffic","","",29.9943784211933,22,"","","2009-03-20T00:00:00.000Z","FS / TFS","","x","","",NA,NA,35,45,-90.1138546258377
"23",30.00284,-90.108244,"NO31 / 47","Canal Blvd @ French St 6200 vlk Canal","","NB","United States",NA,"Traffic","","",30.002845423041,23,"","","2009-10-16T00:00:00.000Z","FS / TFS","St. Pauls Episcopal School","x","","x",20,26,35,45,-90.1082496247194
"24",30.00284,-90.108244,"NO32 / 48","Canal Blvd @ French St 6200 vlk Canal","","SB","United States",NA,"Traffic","","",30.002845423041,24,"","","2009-10-16T00:00:00.000Z","FS / TFS","St. Pauls Episcopal School","x","","x",20,26,35,45,-90.1082496247194
"25",29.926371,-90.10442,"NO33 / 49","St Charles Ave @ Jena St 4500 Blk St Charles","","EB","United States",NA,"Traffic","","",29.926376406758,25,"","","2009-10-16T00:00:00.000Z","FS / TFS","Academy of the Sacred Heart","x","","x",20,26,35,45,-90.1044256198545
"26",29.926288,-90.103313,"NO34 / 5","St Charles Ave @ Jena St 4500 Blk St Charles","","WB","United States",NA,"Traffic","","",29.9262934067373,26,"","","2009-10-16T00:00:00.000Z","FS / TFS","Academy of the Sacred Heart","x","","x",20,26,35,45,-90.1033186198111
"27",30.022914,-89.968403,"NO35 / 51","Read Blvd @ Hammond St 4800 Block of Read","","NB","United States",NA,"Traffic","","",30.0229194320407,27,"","","2009-10-16T00:00:00.000Z","FS / TFS","","x","","x",20,26,35,45,-89.9684085870622
"28",30.022914,-89.968403,"NO36 / 52","Read Blvd @ Hammond St 4800 Block of Read","","SB","United States",NA,"Traffic","","",30.0229194320407,28,"","","2009-10-16T00:00:00.000Z","FS / TFS","","x","","x",20,26,35,45,-89.9684085870622
"29",29.931286,-90.078119,"NO37 / 53","Jackson Ave @ Chestnut St (1)","","NB","United States",NA,"Traffic","","",29.9312914088943,29,"","","2009-10-16T00:00:00.000Z","FS / TFS","","x","","x",20,26,25,35,-90.0781246135898
"30",30.022885,-89.968558,"NO38 / 54","Jackson Ave @ Coliseum St (2)","","SB","United States",NA,"Traffic","","",30.0228904323832,30,"","","2009-10-16T00:00:00.000Z","FS / TFS","","x","","x",20,26,25,35,-89.9685635872809
"31",30.00166,-90.050274,"NO41 / 55","Franklin Ave @ Wisteria St (1)","","NB","United States",NA,"Traffic","","",30.0016654251842,31,"","","2009-10-16T00:00:00.000Z","FS / TFS","","x","","",NA,NA,35,45,-90.0502796088651
"32",30.00166,-90.050274,"NO42 / 56","Franklin Ave @ Wisteria St (2)","","SB","United States",NA,"Traffic","","",30.0016654251842,32,"","","2009-10-16T00:00:00.000Z","FS / TFS","","x","","",NA,NA,35,45,-90.0502796088651
"33",29.980437,-90.105379,"NO43 / 57","Bienville St @ N St Patrick St (3)","","EB","United States",NA,"Traffic","","",29.9804424189353,33,"","","2009-10-16T00:00:00.000Z","FS / TFS","","x","","x",20,26,35,45,-90.1053846233253
"34",29.979891,-90.104463,"NO44 / 58","Bienville St @ N. Olympia St (4)","","WB","United States",NA,"Traffic","","",29.9798964189974,34,"","","2009-10-16T00:00:00.000Z","FS / TFS","","x","","x",20,26,35,45,-90.1044686225184
