Latitude,Longitude,Name,Street,City,State,Country,Zipcode,Category,Photo URL,Description,Y,OBJECTID,Direction,Location,InstallDate,Function,MonitoredSchool,Speed_Enc,RLC_Enf,SZ_Enf,SZSpeedLimit,SZTriggerSpeed,RegSpeedLimit,TriggerSpeed,X
29.97476,-90.100505,NO01,N Carrollton Ave @ Canal St,,SB,United States,,Traffic,,,29.974765417927053,1,,,2008-01-25T00:00:00.000Z,SOG / RL,,x,x,,,,35,45,-90.100510621177051
29.974579,-90.100854,NO02,Canal St @ S Carrollton Ave,,EB,United States,,Traffic,,,29.97458441751051,2,,,2008-01-25T00:00:00.000Z,SOG / RL,,x,x,,,,35,45,-90.100859621274694
29.965531,-90.109873,NO03,S Carrollton Ave @ Palmetto St,,NB,United States,,Traffic,,,29.965536415243498,3,,,2008-01-25T00:00:00.000Z,SOG / RL,,x,x,,,,35,45,-90.109878623734375
29.965975,-90.10986,NO04,S Carrollton Ave @ Palmetto St,,SB,United States,,Traffic,,,29.965980415574339,4,,,2008-01-25T00:00:00.000Z,SOG / RL,,x,x,,,,35,45,-90.109865623041358
29.960826,-90.115091,NO05,S Carrollton Ave @ Earhart Blvd,,NB,United States,,Traffic,,,29.960831414167952,5,,,2008-01-25T00:00:00.000Z,SOG / RL,,x,x,,,,35,45,-90.115096624647364
29.961293,-90.114862,NO06,S Carrollton Ave @ Earhart Blvd,,SB,United States,,Traffic,,,29.961298414061755,6,,,2008-01-25T00:00:00.000Z,SOG / RL,,x,x,,,,35,45,-90.114867624892042
29.961,-90.114681,NO07,Earhart Blvd @ S Carrollton Ave,,WB,United States,,Traffic,,,29.961005414563903,7,,,2008-01-25T00:00:00.000Z,SOG / RL,,x,x,,,,35,45,-90.114686624802047
29.961133,-90.115227,NO08,Earhart Blvd @ S Carrollton Ave,,EB,United States,,Traffic,,,29.961138414091682,8,,,2008-01-25T00:00:00.000Z,SOG / RL,,x,x,,,,35,45,-90.115232624684722
29.950903,-90.075837,NO09,Poydras St @ Loyola Ave,,EB,United States,,Traffic,,,29.950908413214091,9,,,2008-01-25T00:00:00.000Z,SOG / RL,,x,x,,,,35,45,-90.075842613251936
29.93912,-90.075657,NO10,St Charles Ave @ Martin Luther King Jr Blvd,,NB,United States,,Traffic,,,29.939125410645232,10,,,2008-06-27T00:00:00.000Z,SOG / RL,,x,x,,,,35,45,-90.075662612618061
29.93912,-90.075657,NO11,St Charles Ave @ Martin Luther King Jr Blvd,,SB,United States,,Traffic,,,29.939125410645232,11,,,2008-06-27T00:00:00.000Z,SOG / RL,,x,x,,,,35,45,-90.075662612618061
29.949487,-90.070599,NO14,Poydras St @ St Charles Ave,,EB,United States,,Traffic,,,29.949492412864846,12,,,2008-06-27T00:00:00.000Z,SOG / RL,,x,x,,,,35,45,-90.070604612374709
29.931015,-90.086026,NO15,St Charles Ave @ Washington Ave,,EB,United States,,Traffic,,,29.93102040860634,13,,,2008-06-27T00:00:00.000Z,SOG / RL,,x,x,,,,35,45,-90.086031615154155
29.928225,-90.091326,NO16,St Charles Ave @ Louisiana Ave,,EB,United States,,Traffic,,,29.928230407779786,14,,,2008-06-27T00:00:00.000Z,SOG / RL,,x,,,,,35,45,-90.091331617193717
29.928225,-90.091326,NO17,St Charles Ave @ Louisiana Ave,,WB,United States,,Traffic,,,29.928230407779786,15,,,2008-06-27T00:00:00.000Z,SOG / RL,,x,,,,,35,45,-90.091331617193717
29.948931,-90.06815,NO18,Poydras St @ Magazine St,,WB,United States,,Traffic,,,29.948936413479391,16,,,2008-06-27T00:00:00.000Z,SOG / RL,,x,x,,,,35,45,-90.068155611400186
29.949937,-90.071849,NO19,Poydras St @ Carondelet St,,WB,United States,,Traffic,,,29.949942413300111,17,,,2008-06-27T00:00:00.000Z,SOG / RL,,x,x,,,,35,45,-90.071854612142928
30.013292,-90.074978,NO20 / 25,Paris Ave @ Crescent Dr,,NB,United States,,Traffic,,,30.013297426629332,18,,,2009-03-20T00:00:00.000Z,FS / TFS,,x,,x,20,26,35,45,-90.074983616352668
30.015934,-90.075197,NO21 / 26,Paris Ave @ Prentiss Ave,,SB,United States,,Traffic,,,30.015939427717068,19,,,2009-03-20T00:00:00.000Z,FS / TFS,,x,,x,20,26,35,45,-90.075202615931147
29.946139,-90.098299,NO22,Toledano St @ Galvez St,,NB,United States,,Traffic,,,29.946144411379599,20,,,2009-03-20T00:00:00.000Z,FS / TFS,,x,,,,,35,45,-90.098304619699704
29.946139,-90.098299,NO23,Toledano St SB @ Galvez St,,SB,United States,,Traffic,,,29.946144411379599,21,,,2009-03-20T00:00:00.000Z,FS / TFS,,x,,,,,35,45,-90.098304619699704
29.994373,-90.113849,NO24,Florida Blvd @ Milne Blvd,,EB,United States,,Traffic,,,29.994378421193343,22,,,2009-03-20T00:00:00.000Z,FS / TFS,,x,,,,,35,45,-90.113854625837689
30.00284,-90.108244,NO31 / 47,Canal Blvd @ French St 6200 vlk Canal,,NB,United States,,Traffic,,,30.00284542304103,23,,,2009-10-16T00:00:00.000Z,FS / TFS,St. Pauls Episcopal School,x,,x,20,26,35,45,-90.108249624719406
30.00284,-90.108244,NO32 / 48,Canal Blvd @ French St 6200 vlk Canal,,SB,United States,,Traffic,,,30.00284542304103,24,,,2009-10-16T00:00:00.000Z,FS / TFS,St. Pauls Episcopal School,x,,x,20,26,35,45,-90.108249624719406
